type_index,type_name,rule_existence,rule_offset,rule_counts,rule_sign,N1_existence,N1_offset,N1_counts,N1_sign
25,CT1(M10),0.314038185429436,0.8751526251526252,0.5907175549980139,0.5384615384615384,0.31114408723954234,0.5558608058608059,1.0478255971665806,0.5384615384615384
26,Tm1,0.7785548545952206,0.6599624060150376,0.6935762263205811,1.0,0.7231248007635773,0.5747692875599852,0.9650049788932575,1.0
27,Mi9,0.7571137235915649,0.7440476190476191,0.7647538756195434,0.4090909090909091,0.7253731285899154,0.6356158992522629,1.0299545803380774,0.4090909090909091
28,Tm16,0.4423124142970232,0.3481715652768284,0.8347941413829009,1.0,0.4508618523784183,0.27045454545454545,0.986888773551641,1.0
29,TmY9,0.3168937432624369,0.25,0.7320981513212473,1.0,0.32537680499716065,0.23076923076923078,0.7341362571640583,1.0
30,L4,0.4914370098854067,0.22902494331065754,0.9723838344968032,1.0,0.4907664305629907,0.18934240362811788,1.0886804452046053,1.0
31,CT1(Lo1),0.3650911063115348,0.8005494505494506,1.0683589536823963,0.5384615384615384,0.3301640028069778,0.5032051282051282,1.469159113790177,0.5384615384615384
32,Mi4,0.7502535019223211,0.6274715594483036,0.7987483021022359,0.3488372093023256,0.7110685540132932,0.53624953857512,1.0227750909689004,0.3488372093023256
33,T1,0.44715058600103547,1.0,1.7431794031122294,0.9375,0.3693061891166058,1.0,1.7497716037155655,0.9375
34,Mi13,0.3235479039959841,0.26798941798941794,0.8689057941560977,0.4666666666666667,0.3189961344778071,0.20674603174603173,0.9250314028494466,0.4666666666666667
35,TmY4,0.5249395596008938,0.1614177489177489,0.8585072906628395,1.0,0.5201083603349439,0.14058441558441556,0.8807147945588041,1.0
36,R8,0.267039473597148,0.8666666666666666,0.791147182510138,0.5,0.29644771261937813,0.8833333333333332,0.7818518112923416,0.5
37,Mi2,0.2822419192336463,0.32083333333333336,0.7882587087293439,0.5,0.28171236821919826,0.3013888888888889,0.9052849283721287,0.5
38,T4b,0.30690919649538034,0.4154341736694677,0.7654110669108615,1.0,0.3104544728402548,0.3634942182001005,0.8612602323453479,1.0
39,Tm4,0.631531562911195,0.250921350996539,0.9745977801487129,1.0,0.6168410575889238,0.18277210884353742,1.175000681300357,1.0
40,R1,0.19675679501421683,0.9583333333333333,1.12756714010633,0.375,0.241498707413022,1.0,1.115169417414712,0.375
41,T5a,0.30891057757864987,0.29795918367346935,0.8283222182988392,1.0,0.3160048005464166,0.2100907029478458,0.911415946382588,1.0
42,T4a,0.4025921378622073,0.27390635680109365,0.7806679436361805,1.0,0.3935480838382107,0.20172068428647377,0.9047608762448451,1.0
