run_label,netdir,run_id,seed,individual,individual_label,role,is_replicate,replicate_of,night,chkpt_index,chkpt_iter,solver_iteration,stop_iter,side_by_chkpt_iter,side_by_solver_iteration,conventions_agree,penalty_active,pre_weight,weighted,n_central_below_baseline,n_central_above_baseline,n_central_at_baseline,n_cells_total,activity_baseline,activity_penalty,below_w,above_w,reduction_path,deterministic
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,29,100811,100812,150000,before,before,True,True,16.225445989100876,1.6225445989100877,901,139,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,30,104411,104412,150000,before,before,True,True,15.987487134702336,1.5987487134702336,887,153,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,31,108011,108012,150000,before,before,True,True,16.15556248330982,1.615556248330982,900,140,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,32,111611,111612,150000,before,before,True,True,16.38485536067511,1.6384855360675112,902,138,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,33,115211,115212,150000,before,before,True,True,16.258500346515827,1.6258500346515827,900,140,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,34,118811,118812,150000,before,before,True,True,16.262586605048426,1.6262586605048428,892,148,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,35,122411,122412,150000,before,before,True,True,16.384309645182416,1.6384309645182418,903,137,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,36,126011,126012,150000,before,before,True,True,16.41162221530985,1.6411622215309851,909,131,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,37,129611,129612,150000,before,before,True,True,16.41601868521267,1.641601868521267,909,131,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,38,133211,133212,150000,before,before,True,True,16.464698203225307,1.6464698203225308,919,121,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,39,136811,136812,150000,before,before,True,True,16.2959001225737,1.6295900122573699,922,118,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,40,140411,140412,150000,before,before,True,True,16.226804094022718,1.622680409402272,926,114,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,41,144011,144012,150000,before,before,True,True,16.44244125010682,1.6442441250106823,930,110,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,42,147611,147612,150000,before,before,True,True,16.24802219463129,1.624802219463129,930,110,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,43,151211,151212,150000,at_or_after,at_or_after,True,False,16.23689582940628,1.623689582940628,933,107,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,44,154811,154812,150000,at_or_after,at_or_after,True,False,16.15018402566032,1.6150184025660321,934,106,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,45,158411,158412,150000,at_or_after,at_or_after,True,False,16.28050049436895,1.6280500494368952,937,103,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,46,162011,162012,150000,at_or_after,at_or_after,True,False,15.947627650173633,1.5947627650173635,935,105,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,47,165611,165612,150000,at_or_after,at_or_after,True,False,16.065882118275564,1.6065882118275565,939,101,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,48,169211,169212,150000,at_or_after,at_or_after,True,False,15.893279606190928,1.5893279606190929,937,103,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,49,172811,172812,150000,at_or_after,at_or_after,True,False,15.982458620602785,1.5982458620602786,939,101,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,50,176411,176412,150000,at_or_after,at_or_after,True,False,15.940876961448584,1.5940876961448585,940,100,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,51,180011,180012,150000,at_or_after,at_or_after,True,False,15.962768638246944,1.5962768638246945,939,101,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,52,183611,183612,150000,at_or_after,at_or_after,True,False,15.927725726453453,1.5927725726453454,938,102,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,53,187211,187212,150000,at_or_after,at_or_after,True,False,15.909762056766354,1.5909762056766354,940,100,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,54,190811,190812,150000,at_or_after,at_or_after,True,False,15.98382457255298,1.598382457255298,939,101,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,55,194411,194412,150000,at_or_after,at_or_after,True,False,15.854225632049737,1.5854225632049737,939,101,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,56,198011,198012,150000,at_or_after,at_or_after,True,False,15.960717090635615,1.5960717090635617,937,103,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,57,201611,201612,150000,at_or_after,at_or_after,True,False,15.956978018164888,1.595697801816489,936,104,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,58,205211,205212,150000,at_or_after,at_or_after,True,False,15.991063105690674,1.5991063105690675,933,107,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,59,208811,208812,150000,at_or_after,at_or_after,True,False,16.085448782530715,1.6085448782530716,936,104,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,60,212411,212412,150000,at_or_after,at_or_after,True,False,16.01191310777561,1.601191310777561,935,105,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,61,216011,216012,150000,at_or_after,at_or_after,True,False,16.014907773911432,1.6014907773911433,937,103,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,62,219611,219612,150000,at_or_after,at_or_after,True,False,16.07012416400255,1.607012416400255,933,107,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,63,223211,223212,150000,at_or_after,at_or_after,True,False,16.00503439817552,1.6005034398175522,930,110,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,64,226811,226812,150000,at_or_after,at_or_after,True,False,16.093961480844303,1.6093961480844303,930,110,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,65,230411,230412,150000,at_or_after,at_or_after,True,False,16.04765619160678,1.604765619160678,930,110,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,66,234011,234012,150000,at_or_after,at_or_after,True,False,16.15144134054833,1.6151441340548331,930,110,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,67,237611,237612,150000,at_or_after,at_or_after,True,False,16.159690316442425,1.6159690316442425,930,110,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,68,241211,241212,150000,at_or_after,at_or_after,True,False,16.16812454595589,1.616812454595589,931,109,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,69,244811,244812,150000,at_or_after,at_or_after,True,False,16.20864571077726,1.6208645710777263,933,107,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,70,248411,248412,150000,at_or_after,at_or_after,True,False,16.17306238798596,1.6173062387985961,931,109,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\000,9991/000,0,0,seed0,canonical,False,,1,71,250007,250008,150000,at_or_after,at_or_after,True,False,16.189955392979503,1.6189955392979503,931,109,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,0,-1,0,150000,before,before,True,True,19.692142333120692,1.9692142333120692,1040,0,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,1,11,12,150000,before,before,True,True,19.561481115166092,1.9561481115166093,1040,0,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,2,3611,3612,150000,before,before,True,True,18.802748659502292,1.8802748659502293,1024,16,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,3,7211,7212,150000,before,before,True,True,18.46234866146813,1.846234866146813,986,54,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,4,10811,10812,150000,before,before,True,True,17.87923791946493,1.7879237919464932,946,94,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,5,14411,14412,150000,before,before,True,True,18.955367556766745,1.8955367556766747,932,108,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,6,18011,18012,150000,before,before,True,True,58.626832683283006,5.862683268328301,824,216,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,7,21611,21612,150000,before,before,True,True,20.873158854636266,2.0873158854636267,880,160,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,8,25211,25212,150000,before,before,True,True,25.582479768503358,2.558247976850336,780,260,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,9,28811,28812,150000,before,before,True,True,25.610887873417713,2.5610887873417716,759,281,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,10,32411,32412,150000,before,before,True,True,23.910720992018998,2.3910720992019,727,313,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,11,36011,36012,150000,before,before,True,True,23.73606507631366,2.3736065076313664,731,309,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,12,39611,39612,150000,before,before,True,True,23.228517264917695,2.3228517264917694,733,307,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,13,43211,43212,150000,before,before,True,True,22.842833654797225,2.2842833654797228,745,295,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,14,46811,46812,150000,before,before,True,True,24.01916162169231,2.401916162169231,735,305,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,15,50411,50412,150000,before,before,True,True,26.388718845212217,2.638871884521222,732,308,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,16,54011,54012,150000,before,before,True,True,27.20754750419703,2.720754750419703,706,334,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,17,57611,57612,150000,before,before,True,True,26.513950359068886,2.651395035906889,720,320,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,18,61211,61212,150000,before,before,True,True,28.174523624734675,2.8174523624734675,717,323,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,19,64811,64812,150000,before,before,True,True,30.94578196094561,3.0945781960945613,703,337,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,20,68411,68412,150000,before,before,True,True,25.7527332478675,2.57527332478675,750,290,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,21,72011,72012,150000,before,before,True,True,22.06405887881085,2.2064058878810853,809,231,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,22,75611,75612,150000,before,before,True,True,20.463374003007385,2.0463374003007386,806,234,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,23,79211,79212,150000,before,before,True,True,19.910732046658843,1.9910732046658843,796,244,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,24,82811,82812,150000,before,before,True,True,19.00985610842278,1.9009856108422782,819,221,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,25,86411,86412,150000,before,before,True,True,18.95506350650713,1.895506350650713,813,227,0,1040,5.0,0.1,1.0,0.1,gpu,False
seed0prime,C:\Users\mikha\Documents\dpc-research\connectome-seed-data\results\flow\9991\900,9991/900,0,0,seed0,replicate,True,9991/000,1,26,90011,90012,150000,before,before,True,True,18.56729169215829,1.856729169215829,833,207,0,1040,5.0,0.1,1.0,0.1,gpu,False
