# PREVIEW DIAGNOSTIC -- NOT A TEST (gray-stimulus control, brief docs/briefs/2026-09-16-step1-gray-stimulus.md v5.1; n=6 individuals)
# script_sha256=61eb8bf3068b0bc4a89568c144ab1a931c68a0c4a54659a24cd5b631fc067624
run,label,checkpoint_iter,condition,loss_16,loss_item_02_ambush_2_split_00,loss_item_02_ambush_2_split_01,loss_item_02_ambush_2_split_02,loss_item_07_bamboo_1_split_00,loss_item_07_bamboo_1_split_01,loss_item_07_bamboo_1_split_02,loss_item_09_bandage_1_split_00,loss_item_09_bandage_1_split_01,loss_item_09_bandage_1_split_02,loss_item_12_cave_4_split_00,loss_item_13_market_2_split_00,loss_item_13_market_2_split_01,loss_item_13_market_2_split_02,loss_item_16_mountain_1_split_00,loss_item_16_mountain_1_split_01,loss_item_16_mountain_1_split_02
002,seed2,250008,zero,1211.869217967987,4218.28662109375,4521.9375,4926.50537109375,125.50875701904297,109.01421813964843,131.19644165039062,776.6810302734375,785.7041381835937,636.8011474609375,1195.5499267578125,768.185888671875,493.1569885253906,229.44458923339843,178.20164489746094,87.54604797363281,206.1871765136719
002,seed2,250008,shuffled,1293.1717029571532,4432.51259765625,4670.82578125,5036.6259765625,136.05173950195314,120.7477798461914,143.27661743164063,886.216845703125,786.6307861328125,901.62802734375,1210.9049072265625,954.1225463867188,617.9240600585938,254.91421508789062,192.17042236328126,120.68909759521485,225.50584716796874
003,seed3,0,real,1212.549735546112,4222.92333984375,4526.1748046875,4928.904296875,123.3371353149414,106.60800170898438,130.33352661132812,774.1428833007812,780.2952880859375,633.8663330078125,1196.8857421875,769.3776245117188,495.9171142578125,227.31695556640625,186.84596252441406,89.11515808105469,208.75160217285156
003,seed3,0,gray,1212.548363685608,4222.92138671875,4526.17236328125,4928.90234375,123.33370208740234,106.60411834716797,130.3302764892578,774.1417236328125,780.2940063476562,633.8652954101562,1196.8861083984375,769.3759155273438,495.9159851074219,227.31605529785156,186.8473663330078,89.11558532714844,208.7515869140625
003,seed3,0,zero,1212.5510201454163,4222.92724609375,4526.17919921875,4928.9091796875,123.3443603515625,106.61581420898438,130.3404998779297,774.1377563476562,780.288330078125,633.85986328125,1196.885498046875,769.3806762695312,495.91864013671875,227.31903076171875,186.85202026367188,89.11412811279297,208.74407958984375
003,seed3,0,shuffled,1212.549370765686,4222.921875,4526.173828125,4928.9033203125,123.33710479736328,106.60800170898438,130.33351135253906,774.1427001953125,780.2947387695312,633.8658447265625,1196.8856201171875,769.3770751953125,495.91668701171875,227.31687927246094,186.84591674804688,89.11519622802734,208.7516326904297
003,seed3,250008,real,1155.7706342697143,4088.1236328125,4362.8615234375,4725.644921875,103.79966278076172,90.80767211914062,112.64526062011718,719.4313354492188,708.155810546875,584.6777954101562,1180.5071044921874,678.1173706054688,460.4062194824219,215.17430419921874,171.20692138671876,89.11969146728515,201.6509216308594
003,seed3,250008,gray,1207.101840400696,4206.10107421875,4507.90625,4911.15771484375,108.11245574951172,93.08748779296874,120.95810394287109,776.1547241210938,789.2082763671875,643.1533325195312,1196.029052734375,760.5699829101562,490.4316711425781,223.4752990722656,174.4552490234375,95.23820190429687,217.59057006835937
003,seed3,250008,zero,1208.8911652565002,4212.49755859375,4511.03310546875,4912.42333984375,102.7094955444336,81.92599945068359,107.28731384277344,790.67783203125,801.0142700195313,654.1057739257812,1194.080810546875,757.5548095703125,493.7220153808594,223.0471984863281,173.30078125,97.34458465576172,229.53375549316405
003,seed3,250008,shuffled,1305.3612560272218,4328.32666015625,4729.20634765625,4965.928515625,118.80585632324218,108.25358734130859,127.05223846435547,950.8666870117188,846.5227661132812,892.205615234375,1209.5943603515625,1123.931396484375,702.3675903320312,247.0715087890625,211.48513488769532,97.06513061523438,227.0967010498047
004,seed4,0,real,1212.5379438400269,4222.89404296875,4526.14501953125,4928.873046875,123.2909164428711,106.55850982666016,130.29046630859375,774.162353515625,780.3216552734375,633.8900756835938,1196.8885498046875,769.3572387695312,495.90264892578125,227.3016815185547,186.8262939453125,89.12075805664062,208.78384399414062
004,seed4,0,gray,1212.5366048812866,4222.892578125,4526.142578125,4928.87109375,123.28749084472656,106.55464935302734,130.28724670410156,774.1612548828125,780.3204345703125,633.8890380859375,1196.888916015625,769.35546875,495.9014892578125,227.30078125,186.82765197753906,89.12117767333984,208.78382873535156
004,seed4,0,zero,1212.5392270088196,4222.8984375,4526.14892578125,4928.8779296875,123.29812622070312,106.56631469726562,130.2974395751953,774.1572265625,780.314697265625,633.8836059570312,1196.8883056640625,769.3602905273438,495.9042053222656,227.3037567138672,186.83230590820312,89.11971282958984,208.77635192871094
004,seed4,0,shuffled,1212.5375485420227,4222.892578125,4526.1435546875,4928.8720703125,123.2908935546875,106.55850982666016,130.29046630859375,774.1622314453125,780.3211669921875,633.8895263671875,1196.888427734375,769.3566284179688,495.9022216796875,227.30160522460938,186.82623291015625,89.12078857421875,208.78387451171875
004,seed4,250008,real,1156.8284245491027,4068.653173828125,4384.22470703125,4790.33505859375,103.01119842529297,85.71349792480468,108.37220153808593,705.5517944335937,716.9291259765625,580.7311401367188,1169.554833984375,667.263134765625,458.63865356445314,222.78270874023437,162.25430603027343,87.04959411621094,198.18966369628907
004,seed4,250008,gray,1210.6953686714173,4219.74560546875,4521.09228515625,4923.7080078125,116.38910522460938,98.51927337646484,119.71160278320312,781.381640625,793.842529296875,647.6043090820312,1194.5010986328125,762.2499633789063,495.3136474609375,226.40290222167968,173.6443603515625,83.40672302246094,213.61284484863282
004,seed4,250008,zero,1217.0418444633483,4230.046875,4534.31123046875,4936.22900390625,134.57452392578125,113.52032623291015,130.19013061523438,789.8389892578125,801.4976806640625,655.0593383789062,1193.7417724609375,760.6862426757813,493.4707458496094,231.80190734863282,171.2150665283203,85.61792907714843,210.8677490234375
