run,label,type,base_loss_16,delta_16,delta_norm_16,delta_13,delta_10,delta_item_sequence_02_ambush_2_split_00,delta_item_sequence_02_ambush_2_split_01,delta_item_sequence_02_ambush_2_split_02,delta_item_sequence_07_bamboo_1_split_00,delta_item_sequence_07_bamboo_1_split_01,delta_item_sequence_07_bamboo_1_split_02,delta_item_sequence_09_bandage_1_split_00,delta_item_sequence_09_bandage_1_split_01,delta_item_sequence_09_bandage_1_split_02,delta_item_sequence_12_cave_4_split_00,delta_item_sequence_13_market_2_split_00,delta_item_sequence_13_market_2_split_01,delta_item_sequence_13_market_2_split_02,delta_item_sequence_16_mountain_1_split_00,delta_item_sequence_16_mountain_1_split_01,delta_item_sequence_16_mountain_1_split_02
000,seed0,L3,1148.8074612617493,0.5004324913024902,0.00043561041182032286,1.7408417921799924,1.006484222412098,-1.953125,-2.6787109375,-9.9921875,5.681190490722656,8.3406982421875,7.5385284423828125,6.74005126953125,6.81103515625,-0.9849853515625,-4.0166015625,-4.47637939453125,3.623687744140625,3.29327392578125,-6.4369964599609375,-5.031463623046875,1.5489044189453125
000,seed0,L4,1148.8074612617493,40.522337436676025,0.035273393325779626,45.23771608792822,38.97889785766603,19.9423828125,25.9091796875,14.41552734375,-3.8819427490234375,-13.096481323242188,-16.456298828125,61.48712158203125,73.5,63.314208984375,17.158203125,43.30670166015625,47.62420654296875,36.04518127441406,58.94114685058594,121.44454193115234,98.70372009277344
000,seed0,L5,1148.8074612617493,378.7494559288025,0.3296892374922577,438.80279717078577,394.73798446655275,294.624755859375,128.46044921875,-67.5302734375,384.0093307495117,385.5072326660156,367.9411849975586,469.5125732421875,574.9351196289062,712.6088256835938,138.6368408203125,205.75262451171875,258.6379699707031,374.1856231689453,607.2733764648438,694.668830871582,530.7668304443359
000,seed0,Lawf1,1148.8074612617493,0.1909494400024414,0.00016621535500188978,-0.06385098970849867,-0.4580490112304574,0.056640625,1.89013671875,1.9384765625,0.0786895751953125,-0.799591064453125,-0.8823928833007812,1.63916015625,1.15155029296875,0.959716796875,-0.5089111328125,0.02685546875,0.26483154296875,-0.044158935546875,-0.6431121826171875,-1.7265853881835938,-0.3461151123046875
000,seed0,Lawf2,1148.8074612617493,6.195147514343262,0.005392676948266906,6.596889789287843,1.4369979858398096,-9.81689453125,8.22265625,14.95703125,-0.5458297729492188,-2.4082260131835938,-1.999908447265625,27.59405517578125,26.37640380859375,17.41912841796875,-0.2501220703125,7.94012451171875,7.473541259765625,0.2569732666015625,-7.979644775390625,-3.172607421875,15.055679321289062
000,seed0,Am,1148.8074612617493,7.9061689376831055,0.006882066146227553,6.398206270658079,4.600822448730469,-2.550537109375,14.57080078125,31.3017578125,2.507965087890625,0.6542816162109375,0.5559005737304688,16.13507080078125,12.11517333984375,8.918212890625,2.4456787109375,15.334228515625,11.629730224609375,3.2022552490234375,0.8267364501953125,2.2096176147460938,6.6418304443359375
000,seed0,C2,1148.8074612617493,-0.5875949859619141,-0.0005114825641161412,-1.3687767615684834,-1.8557098388671989,6.626953125,-1.673828125,3.439453125,-2.5145645141601562,-5.5994873046875,-5.1071014404296875,-0.31146240234375,-2.08087158203125,3.15533447265625,-0.347900390625,-7.8828125,-4.872802734375,1.586700439453125,7.36090087890625,1.3568649291992188,-2.536895751953125
000,seed0,C3,1148.8074612617493,12.885787010192871,0.011216663753245695,11.670014601487367,9.428001403808594,-6.34423828125,27.7783203125,33.0283203125,8.980400085449219,8.671875,7.553276062011719,21.92034912109375,19.91265869140625,15.59716796875,5.6611328125,19.31298828125,11.328094482421875,11.714248657226562,8.877578735351562,8.60333251953125,3.57708740234375
000,seed0,CT1(Lo1),1148.8074612617493,-0.17315959930419922,-0.00015072987001147774,2.6450347900390625,-0.4485336303711165,-15.069091796875,-9.931640625,-12.1552734375,-1.7271575927734375,-6.4615478515625,-7.0238494873046875,14.76898193359375,13.21014404296875,10.89166259765625,-0.9764404296875,5.48089599609375,2.364501953125,-0.60089111328125,-1.6432342529296875,0.8523712158203125,5.2500152587890625
000,seed0,CT1(M10),1148.8074612617493,953.3970065116882,0.8299014749299771,1186.7807658268857,1185.8401176452637,-41.1298828125,-30.1923828125,-102.4755859375,1228.6374130249023,1255.3790588378906,1220.858299255371,1232.9930419921875,1240.6466674804688,1096.1090698242188,558.2366943359375,918.9727172851562,1134.7669372558594,1240.8864288330078,1300.1153564453125,1490.9326248168945,1509.6156463623047
000,seed0,Mi1,1148.8074612617493,363.6134572029114,0.31651383670815497,400.04943906343897,393.40257034301754,72.242919921875,144.8291015625,400.1005859375,78.01648712158203,76.75216674804688,112.21920013427734,410.7789306640625,397.70672607421875,458.13134765625,17.4434814453125,124.96600341796875,118.72543334960938,140.0186004638672,1183.9677734375,1207.5537185668945,874.3628387451172
000,seed0,Mi2,1148.8074612617493,88.61434602737427,0.07713594228405171,63.979920020470274,97.86995925903318,159.474365234375,192.37158203125,234.24462890625,134.81766510009766,158.74444580078125,158.71102142333984,-58.286376953125,-62.27398681640625,-26.4002685546875,114.70703125,80.520751953125,77.52078247070312,96.72328186035156,92.54904174804688,87.44725799560547,-23.04168701171875
000,seed0,Mi3,1148.8074612617493,12.848819732666016,0.011184484925397333,10.23419189453125,1.55328369140625,7.1044921875,24.63330078125,40.798828125,-8.006294250488281,-13.466850280761719,-12.577301025390625,42.09832763671875,43.38134765625,32.031982421875,8.6080322265625,23.21478271484375,11.857452392578125,2.0279998779296875,-14.584640502929688,-3.1668548583984375,21.626510620117188
000,seed0,Mi4,1148.8074612617493,1323.5416140556335,1.1521004682559874,1594.9786324134238,1689.9430961608887,290.726806640625,102.40625,48.810546875,1580.0778427124023,1603.7340393066406,1631.8689193725586,1078.325927734375,1246.9143676757812,1510.0509643554688,785.4664306640625,1565.6961059570312,1378.6420593261719,1590.8853302001953,2294.064453125,2331.254280090332,2137.741500854492
000,seed0,Mi9,1148.8074612617493,78.23625135421753,0.0681021441733062,75.95838282658502,100.65700607299806,98.888427734375,94.095703125,71.3369140625,116.35944366455078,147.0996551513672,179.38555145263672,-25.0093994140625,1.34552001953125,4.55279541015625,55.6490478515625,55.03936767578125,82.55026245117188,143.9695281982422,96.77752685546875,106.27970123291016,23.459976196289062
000,seed0,Mi10,1148.8074612617493,9.589953899383545,0.008347746879055592,9.962819612943235,-0.40695877075194176,-2.909912109375,10.388671875,16.44384765625,-7.191162109375,-13.316940307617188,-12.340087890625,33.46392822265625,47.4776611328125,52.6446533203125,6.4176025390625,8.31732177734375,5.444854736328125,-0.4582061767578125,-7.39434814453125,1.9637374877929688,14.487640380859375
000,seed0,Mi11,1148.8074612617493,-3.0040740966796875e-05,-2.6149500225044467e-08,-3.697321966456002e-05,-2.3651123058243684e-05,0.0,0.0,0.0,3.0517578125e-05,-1.52587890625e-05,3.0517578125e-05,0.0,-0.00018310546875,-6.103515625e-05,-0.0001220703125,-0.0001220703125,0.0,1.52587890625e-05,1.52587890625e-05,-3.814697265625e-05,-3.0517578125e-05
000,seed0,Mi12,1148.8074612617493,-0.5719413757324219,-0.0004978565991417323,-0.20516733022833478,-0.12537841796876137,-3.06884765625,-1.775390625,-1.6396484375,-0.5452651977539062,-0.5054473876953125,-0.45496368408203125,-0.32769775390625,-0.57513427734375,-0.51055908203125,-0.102783203125,-0.60736083984375,-0.803741455078125,-0.22479248046875,0.9718017578125,0.8139495849609375,0.2048187255859375
000,seed0,Mi13,1148.8074612617493,-1.4612617492675781,-0.001271981422946763,1.61639404296875,-3.25677490234375,-26.814208984375,-10.42578125,-7.1533203125,-2.0502548217773438,-6.767219543457031,-6.146942138671875,17.39739990234375,19.763671875,16.4197998046875,-1.8331298828125,-7.575439453125,-4.51263427734375,1.2824249267578125,-4.523040771484375,-6.7906494140625,6.3491363525390625
000,seed0,Mi14,1148.8074612617493,3.86027193069458,0.003360242739418489,6.93620006854718,-3.951006317138706,-20.109375,-3.53466796875,-4.76220703125,-5.322196960449219,-15.293136596679688,-17.91162109375,43.08929443359375,46.32275390625,40.26861572265625,-3.5394287109375,1.859130859375,9.96356201171875,-3.4798736572265625,-22.186233520507812,-5.2088470458984375,21.60858154296875
000,seed0,Mi15,1148.8074612617493,0.29424381256103516,0.00025612978891855696,0.3265768197866805,0.15991363525387214,-0.259765625,0.36376953125,0.3583984375,-0.64520263671875,-0.2743682861328125,-0.1486358642578125,0.42047119140625,1.12725830078125,1.0986328125,0.3016357421875,0.8988037109375,0.41912841796875,0.182403564453125,-0.19921875,0.4068450927734375,0.657745361328125
