sd,present,degenerate,auc_N1,auc_rule,M_rule,lam_rule,auc_BF:1,M_BF:1,lam_BF:1,auc_BF:2,M_BF:2,lam_BF:2,auc_BF:3,M_BF:3,lam_BF:3,auc_BF:4,M_BF:4,lam_BF:4,auc_N1,M_N1,lam_N1
61,25,False,0.5841025641025641,0.5815384615384616,-0.002564102564102555,100.0,0.5841025641025641,0.0,100.0,0.5841025641025641,0.0,100.0,0.5841025641025641,0.0,100.0,0.5841025641025641,0.0,100.0,0.5841025641025641,0.0,
62,28,False,0.6130952380952381,0.6264880952380952,0.013392857142857095,100.0,0.6130952380952381,0.0,100.0,0.6130952380952381,0.0,100.0,0.6130952380952381,0.0,100.0,0.6130952380952381,0.0,100.0,0.6130952380952381,0.0,
63,27,False,0.502002002002002,0.5005005005005005,-0.0015015015015014122,100.0,0.502002002002002,0.0,100.0,0.502002002002002,0.0,100.0,0.502002002002002,0.0,100.0,0.502002002002002,0.0,100.0,0.502002002002002,0.0,
64,23,False,0.39395546129374337,0.38229056203605516,-0.01166489925768821,100.0,0.39395546129374337,0.0,100.0,0.39395546129374337,0.0,100.0,0.39395546129374337,0.0,100.0,0.39395546129374337,0.0,100.0,0.39395546129374337,0.0,
65,30,False,0.49264705882352944,0.5284313725490196,0.03578431372549018,100.0,0.49264705882352944,0.0,100.0,0.49264705882352944,0.0,100.0,0.49264705882352944,0.0,100.0,0.49264705882352944,0.0,100.0,0.49264705882352944,0.0,
66,24,False,0.4083333333333333,0.421875,0.013541666666666674,100.0,0.4083333333333333,0.0,100.0,0.4083333333333333,0.0,100.0,0.4083333333333333,0.0,100.0,0.4083333333333333,0.0,100.0,0.4083333333333333,0.0,
67,26,False,0.4600202429149798,0.4524291497975709,-0.007591093117408909,100.0,0.4600202429149798,0.0,100.0,0.4600202429149798,0.0,100.0,0.4600202429149798,0.0,100.0,0.4600202429149798,0.0,100.0,0.4600202429149798,0.0,
68,20,False,0.4727272727272727,0.47897727272727275,0.006250000000000033,100.0,0.4727272727272727,0.0,100.0,0.4727272727272727,0.0,100.0,0.4727272727272727,0.0,100.0,0.4727272727272727,0.0,100.0,0.4727272727272727,0.0,
69,23,False,0.5657476139978791,0.5482502651113468,-0.017497348886532316,100.0,0.5657476139978791,0.0,100.0,0.5657476139978791,0.0,100.0,0.5657476139978791,0.0,100.0,0.5657476139978791,0.0,100.0,0.5657476139978791,0.0,
70,27,False,0.4754754754754755,0.481981981981982,0.006506506506506526,100.0,0.4754754754754755,0.0,100.0,0.4754754754754755,0.0,100.0,0.4754754754754755,0.0,100.0,0.4754754754754755,0.0,100.0,0.4754754754754755,0.0,
71,31,False,0.5131964809384164,0.5019550342130987,-0.011241446725317683,100.0,0.5131964809384164,0.0,100.0,0.5131964809384164,0.0,100.0,0.5131964809384164,0.0,100.0,0.5131964809384164,0.0,100.0,0.5131964809384164,0.0,
72,24,False,0.5786458333333333,0.6234375,0.044791666666666674,100.0,0.5786458333333333,0.0,100.0,0.5786458333333333,0.0,100.0,0.5786458333333333,0.0,100.0,0.5786458333333333,0.0,100.0,0.5786458333333333,0.0,
73,25,False,0.4707692307692308,0.5271794871794871,0.056410256410256376,100.0,0.4707692307692308,0.0,100.0,0.4707692307692308,0.0,100.0,0.4707692307692308,0.0,100.0,0.4707692307692308,0.0,100.0,0.4707692307692308,0.0,
74,28,False,0.39384920634920634,0.3943452380952381,0.0004960317460317443,100.0,0.39384920634920634,0.0,100.0,0.39384920634920634,0.0,100.0,0.39384920634920634,0.0,100.0,0.39384920634920634,0.0,100.0,0.39384920634920634,0.0,
75,22,False,0.5248917748917749,0.5211038961038961,-0.0037878787878787845,100.0,0.5248917748917749,0.0,100.0,0.5248917748917749,0.0,100.0,0.5248917748917749,0.0,100.0,0.5248917748917749,0.0,100.0,0.5248917748917749,0.0,
76,30,False,0.44166666666666665,0.44901960784313727,0.007352941176470618,100.0,0.44166666666666665,0.0,100.0,0.44166666666666665,0.0,100.0,0.44166666666666665,0.0,100.0,0.44166666666666665,0.0,100.0,0.44166666666666665,0.0,
77,28,False,0.5044642857142857,0.5124007936507936,0.007936507936507908,100.0,0.5044642857142857,0.0,100.0,0.5044642857142857,0.0,100.0,0.5044642857142857,0.0,100.0,0.5044642857142857,0.0,100.0,0.5044642857142857,0.0,
78,28,False,0.5902777777777778,0.5634920634920635,-0.0267857142857143,100.0,0.5902777777777778,0.0,100.0,0.5902777777777778,0.0,100.0,0.5902777777777778,0.0,100.0,0.5902777777777778,0.0,100.0,0.5902777777777778,0.0,
79,23,False,0.5795334040296924,0.5795334040296924,0.0,100.0,0.5795334040296924,0.0,100.0,0.5795334040296924,0.0,100.0,0.5795334040296924,0.0,100.0,0.5795334040296924,0.0,100.0,0.5795334040296924,0.0,
80,26,False,0.4559716599190283,0.4549595141700405,-0.001012145748987836,100.0,0.4559716599190283,0.0,100.0,0.4559716599190283,0.0,100.0,0.4559716599190283,0.0,100.0,0.4559716599190283,0.0,100.0,0.4559716599190283,0.0,
81,24,False,0.4395833333333333,0.44479166666666664,0.005208333333333315,100.0,0.4395833333333333,0.0,100.0,0.4395833333333333,0.0,100.0,0.4395833333333333,0.0,100.0,0.4395833333333333,0.0,100.0,0.4395833333333333,0.0,
82,32,False,0.44873046875,0.462890625,0.01416015625,100.0,0.44873046875,0.0,100.0,0.44873046875,0.0,100.0,0.44873046875,0.0,100.0,0.44873046875,0.0,100.0,0.44873046875,0.0,
83,26,False,0.5602226720647774,0.5592105263157895,-0.0010121457489878916,100.0,0.5602226720647774,0.0,100.0,0.5602226720647774,0.0,100.0,0.5602226720647774,0.0,100.0,0.5602226720647774,0.0,100.0,0.5602226720647774,0.0,
84,27,False,0.5235235235235235,0.526026026026026,0.0025025025025025016,100.0,0.5235235235235235,0.0,100.0,0.5235235235235235,0.0,100.0,0.5235235235235235,0.0,100.0,0.5235235235235235,0.0,100.0,0.5235235235235235,0.0,
85,22,False,0.571969696969697,0.573051948051948,0.0010822510822510178,100.0,0.571969696969697,0.0,100.0,0.571969696969697,0.0,100.0,0.571969696969697,0.0,100.0,0.571969696969697,0.0,100.0,0.571969696969697,0.0,
86,28,False,0.41617063492063494,0.4246031746031746,0.008432539682539653,100.0,0.41617063492063494,0.0,100.0,0.41617063492063494,0.0,100.0,0.41617063492063494,0.0,100.0,0.41617063492063494,0.0,100.0,0.41617063492063494,0.0,
87,19,False,0.49415204678362573,0.531578947368421,0.03742690058479531,100.0,0.49415204678362573,0.0,100.0,0.49415204678362573,0.0,100.0,0.49415204678362573,0.0,100.0,0.49415204678362573,0.0,100.0,0.49415204678362573,0.0,
88,27,False,0.4029029029029029,0.41291291291291293,0.010010010010010006,100.0,0.4029029029029029,0.0,100.0,0.4029029029029029,0.0,100.0,0.4029029029029029,0.0,100.0,0.4029029029029029,0.0,100.0,0.4029029029029029,0.0,
89,28,False,0.4558531746031746,0.4593253968253968,0.00347222222222221,100.0,0.4558531746031746,0.0,100.0,0.4558531746031746,0.0,100.0,0.4558531746031746,0.0,100.0,0.4558531746031746,0.0,100.0,0.4558531746031746,0.0,
90,29,False,0.45270935960591135,0.44433497536945815,-0.008374384236453203,100.0,0.45270935960591135,0.0,100.0,0.45270935960591135,0.0,100.0,0.45270935960591135,0.0,100.0,0.45270935960591135,0.0,100.0,0.45270935960591135,0.0,
91,25,False,0.39692307692307693,0.3984615384615385,0.001538461538461544,100.0,0.39692307692307693,0.0,100.0,0.39692307692307693,0.0,100.0,0.39692307692307693,0.0,100.0,0.39692307692307693,0.0,100.0,0.39692307692307693,0.0,
92,28,False,0.5014880952380952,0.49702380952380953,-0.004464285714285698,100.0,0.5014880952380952,0.0,100.0,0.5014880952380952,0.0,100.0,0.5014880952380952,0.0,100.0,0.5014880952380952,0.0,100.0,0.5014880952380952,0.0,
93,27,False,0.4394394394394394,0.44344344344344344,0.004004004004004025,100.0,0.4394394394394394,0.0,100.0,0.4394394394394394,0.0,100.0,0.4394394394394394,0.0,100.0,0.4394394394394394,0.0,100.0,0.4394394394394394,0.0,
94,29,False,0.4911330049261084,0.47881773399014776,-0.012315270935960632,100.0,0.4911330049261084,0.0,100.0,0.4911330049261084,0.0,100.0,0.4911330049261084,0.0,100.0,0.4911330049261084,0.0,100.0,0.4911330049261084,0.0,
95,32,False,0.47021484375,0.46826171875,-0.001953125,100.0,0.47021484375,0.0,100.0,0.47021484375,0.0,100.0,0.47021484375,0.0,100.0,0.47021484375,0.0,100.0,0.47021484375,0.0,
96,27,False,0.5705705705705706,0.5895895895895896,0.019019019019019034,100.0,0.5705705705705706,0.0,100.0,0.5705705705705706,0.0,100.0,0.5705705705705706,0.0,100.0,0.5705705705705706,0.0,100.0,0.5705705705705706,0.0,
97,20,False,0.4346590909090909,0.4284090909090909,-0.006249999999999978,100.0,0.4346590909090909,0.0,100.0,0.4346590909090909,0.0,100.0,0.4346590909090909,0.0,100.0,0.4346590909090909,0.0,100.0,0.4346590909090909,0.0,
98,28,False,0.4915674603174603,0.4965277777777778,0.004960317460317498,100.0,0.4915674603174603,0.0,100.0,0.4915674603174603,0.0,100.0,0.4915674603174603,0.0,100.0,0.4915674603174603,0.0,100.0,0.4915674603174603,0.0,
