{'family': 'Nf', 'seed': 90114, 'r': 2, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5224609375, 'auc_gpu': 0.5224609375, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 4.377787113189697, 'secs_gpu': 2.0177969932556152, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90114, 'r': 3, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5224609375, 'auc_gpu': 0.5224609375, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 4.43006157875061, 'secs_gpu': 2.147953748703003, 'auc_diff': 0.0}
{'family': 'Nf', 'seed': 90114, 'r': 4, 'lam_cpu': 100.0, 'lam_gpu': 100.0, 'lam_match': True, 'auc_cpu': 0.5224609375, 'auc_gpu': 0.5224609375, 'max_abs_p_diff': 0.0, 'label_mismatches': 0, 'secs_cpu': 5.647629499435425, 'secs_gpu': 2.0367720127105713, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90120, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.4990234375, 'auc_gpu': 0.4990234375, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 2.056452989578247, 'secs_gpu': 1.6315009593963623, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90120, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.4833984375, 'auc_gpu': 0.4833984375, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.424412727355957, 'secs_gpu': 2.4149913787841797, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90120, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.4794921875, 'auc_gpu': 0.4794921875, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 5.101669788360596, 'secs_gpu': 2.3930749893188477, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90120, 'r': 4, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.5126953125, 'auc_gpu': 0.5126953125, 'max_abs_p_diff': 1.6653345369377348e-16, 'label_mismatches': 0, 'secs_cpu': 6.877748727798462, 'secs_gpu': 2.6447060108184814, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90121, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.5, 'auc_gpu': 0.5, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 2.0699398517608643, 'secs_gpu': 1.8675589561462402, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90121, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.5009765625, 'auc_gpu': 0.5009765625, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.518935203552246, 'secs_gpu': 2.2250475883483887, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90121, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.5009765625, 'auc_gpu': 0.5009765625, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 5.432585000991821, 'secs_gpu': 2.210115432739258, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90121, 'r': 4, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.5126953125, 'auc_gpu': 0.5126953125, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 6.3319456577301025, 'secs_gpu': 2.2559926509857178, 'auc_diff': 0.0}
