t_rel,util,mem_mib
277.79,96,15581
278.31,97,15581
278.81,99,15581
279.32,98,15581
279.82,98,15581
280.34,97,15581
280.84,96,15581
281.35,97,15581
281.86,94,15581
282.37,93,15581
282.88,94,15581
283.39,95,15581
283.90,98,15581
284.41,99,15581
284.91,97,15581
285.42,97,15581
285.94,97,15581
286.45,97,15581
286.96,97,15581
287.47,97,15581
287.99,97,15581
288.50,96,15581
289.00,98,15581
289.51,98,15581
290.03,97,15581
290.53,97,15581
291.04,97,15581
291.54,95,15581
292.05,96,15581
292.56,96,15581
293.07,95,15581
293.58,97,15581
294.09,99,15581
294.60,97,15581
295.12,98,15581
295.63,98,15581
296.13,98,15581
296.64,97,15581
297.14,98,15581
297.65,98,15581
298.17,98,15581
298.68,96,15581
299.19,95,15581
299.70,98,15581
300.20,96,15581
300.71,97,15581
301.21,97,15581
301.72,97,15581
302.22,97,15581
302.73,97,15581
303.23,95,15581
303.74,97,15581
304.26,99,15581
304.76,99,15581
305.28,97,15581
305.79,95,15581
306.29,97,15581
306.81,93,15581
307.31,95,15581
307.81,93,15585
308.33,92,15585
308.85,99,15585
309.36,97,15585
309.86,98,15585
310.37,97,15585
310.87,98,15585
311.38,97,15585
311.89,97,15585
312.40,96,15585
312.91,97,15585
313.42,94,15581
313.93,99,15581
314.44,98,15581
314.96,98,15581
315.46,96,15581
315.97,98,15581
316.48,97,15581
316.98,96,15581
317.49,96,15581
317.99,98,15581
318.50,97,15581
319.01,98,15581
319.52,99,15581
320.03,99,15581
320.54,98,15581
321.05,97,15581
321.56,97,15581
322.06,97,15581
322.57,96,15581
323.07,95,15581
323.58,97,15581
324.09,98,15581
324.60,99,15581
325.12,97,15581
325.63,96,15581
326.13,97,15581
326.64,97,15581
327.14,97,15581
327.65,98,15581
328.16,96,15581
328.67,97,15581
329.17,98,15581
329.68,100,15581
330.19,98,15581
330.70,97,15581
331.20,96,15581
331.70,97,15581
332.22,96,15581
332.73,96,15581
333.24,95,15581
333.76,97,15581
334.27,99,15581
334.78,99,15581
335.29,98,15581
335.81,97,15581
336.31,97,15581
336.82,97,15581
337.32,97,15581
337.83,97,15581
338.35,95,15581
338.86,99,15581
339.37,97,15581
339.88,96,15581
340.38,96,15581
340.89,96,15581
341.39,96,15581
341.90,96,15581
342.42,97,15581
342.93,97,15581
343.45,97,15581
343.96,98,15581
344.47,99,15581
344.98,98,15581
345.50,97,15581
346.01,98,15581
346.52,97,15581
347.03,95,15581
347.53,97,15581
348.04,95,15581
348.54,96,15581
349.05,99,15581
349.56,98,15581
350.07,97,15581
350.59,98,15581
351.10,97,15581
351.60,98,15581
352.11,97,15581
352.62,97,15581
353.13,96,15581
353.63,96,15581
354.14,99,15581
354.64,98,15581
355.15,98,15581
355.65,98,15581
356.17,98,15581
356.68,96,15581
357.19,97,15581
357.70,95,15581
358.20,97,15581
358.71,94,15581
359.22,98,15581
359.72,98,15581
360.23,97,15581
360.74,97,15581
361.25,97,15581
361.75,98,15581
362.26,97,15581
362.77,96,15581
363.28,95,15581
363.79,99,15581
364.30,98,15581
364.82,98,15581
