iteration,chkpt_index,d_core_0_0prime,d_dec_0_0prime,d_all_0_0prime,reln_all_0_0prime,d_core_0_1,d_dec_0_1,d_all_0_1,reln_all_0_1
97212,28,3.118147625611241,1.0237706651037022,3.281912702957213,0.4661931513759554,3.363609568299007,2.8713465436578542,4.422499327498935,0.6353566713830174
100812,29,3.1815317570890196,1.0540881004002582,3.3516035035146086,0.4719845828083055,3.3981218191296345,2.9162339813909575,4.477907159808507,0.6383659748382006
104412,30,3.238393427945443,1.079548207116791,3.4135928763766414,0.4770751361634531,3.429971366390256,2.953988912269637,4.526671411541712,0.6409722424560813
108012,31,3.2808617272313843,1.1051855974130718,3.4620064814989884,0.480272550783378,3.4648428309633936,2.99411637814398,4.579286923653997,0.6440710460601129
111612,32,3.319685111950334,1.131073122845173,3.5070836391120546,0.4829907937512216,3.4997316443450868,3.032253888894785,4.630624712622255,0.6470027416769799
115212,33,3.359756369762887,1.154785232253713,3.552673893955588,0.48575490110594277,3.540950304787724,3.071624449438059,4.6875586203654,0.6506745100998559
118812,34,3.397822297989922,1.1840989629237706,3.5982338338016167,0.48852382423020985,3.5763439826517396,3.1113810285276817,4.740351061570366,0.653780515289524
122412,35,3.4377025603996607,1.21327910639524,3.645523979319519,0.49148510840589926,3.611530147841959,3.1524761809237805,4.793876936266011,0.6570000625486438
126012,36,3.4759664013555307,1.243112405270075,3.691567536357543,0.4944902862575422,3.6462797432564584,3.1901468407416362,4.844831558638157,0.6600933317576679
129612,37,3.51151355442585,1.2691289134157768,3.7338205154753252,0.4973860108152937,3.674501532633089,3.2211930600071903,4.886516780198494,0.6624868077800773
133212,38,3.5480638289061295,1.296158926803693,3.7774045186509957,0.5004682663146086,3.704956709460141,3.2514109670770655,4.929338444031084,0.665098523846069
136812,39,3.5842293078174547,1.3253559303880478,3.8214222579076993,0.503548058657578,3.7321319639408346,3.2826052270225587,4.970342651442123,0.6673732132332096
140412,40,3.6210097346029904,1.352478712169245,3.8653473537265217,0.5066477391293982,3.7579127807194945,3.3164411999706744,5.0120545388451125,0.6697854473927904
