iteration,chkpt_index,hook_val_0,hook_val_0prime,stored_ckpt_val_0,stored_ckpt_val_0prime
165612,47,1168.3796796798706,1172.0600109100342,1168.3797082901,1172.0600066184998
169212,48,1149.1647453308105,1160.9523692131042,1149.1647539138794,1160.9523620605469
172812,49,1154.8276481628418,1165.7929100990295,1154.8276648521423,1165.792932510376
176412,50,1147.520670890808,1164.6905932426453,1147.5206727981567,1164.690577507019
180012,51,1148.945294380188,1161.0157837867737,1148.9452629089355,1161.0157647132874
183612,52,1146.5118203163147,1163.1874570846558,1146.5117826461792,1163.1874775886536
187212,53,1150.2213687896729,1167.1312823295593,1150.2213530540466,1167.1312942504883
190812,54,1167.618736743927,1172.5036120414734,1167.618703365326,1172.5036034584045
194412,55,1153.1420588493347,1163.9778819084167,1153.1420350074768,1163.9778952598572
198012,56,1149.6872549057007,1163.5245342254639,1149.6872253417969,1163.5245547294617
201612,57,1147.5358085632324,1162.233992099762,1147.5358061790466,1162.2339978218079
205212,58,1148.8634910583496,1163.2771091461182,1148.8634481430054,1163.277099609375
208812,59,1149.8739380836487,1163.9772391319275,1149.8739533424377,1163.9772124290466
212412,60,1156.6828651428223,1168.5995478630066,1156.68288564682,1168.5995626449585
216012,61,1152.8447546958923,1164.6138401031494,1152.8447680473328,1164.6138353347778
219612,62,1141.0463013648987,1158.8615097999573,1141.046275138855,1158.8615641593933
223212,63,1153.735408782959,1165.079861164093,1153.735357761383,1165.0799078941345
226812,64,1150.9120235443115,1163.2939987182617,1150.912000656128,1163.2939519882202
230412,65,1148.4920525550842,1161.3784747123718,1148.4919900894165,1161.378493309021
234012,66,1145.9388933181763,1162.5076031684875,1145.9389743804932,1162.5076351165771
237612,67,1146.7684049606323,1163.5596523284912,1146.768355846405,1163.559669971466
241212,68,1150.258120059967,1163.7692875862122,1150.2581067085266,1163.769284248352
244812,69,1147.7892870903015,1163.0918145179749,1147.7892470359802,1163.0918135643005
248412,70,1153.3329453468323,1165.2531504631042,1153.3329420089722,1165.2531352043152
250008,71,1148.8074011802673,1160.982361793518,1148.8074851036072,1160.9823441505432
