# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json
pair_birth_id,src,tar,du,dv,n_syn,n_syn_json,sign,provenance,json_index,json_offset_order
6037ceadfb3d,L2,Lawf2,1,1,5.0,5,1,in_json,55,11
6037ceadfb3d,L2,Lawf2,1,-2,5.0,5,1,in_json,55,12
6037ceadfb3d,L2,Lawf2,0,-2,5.0,5,1,in_json,55,13
6037ceadfb3d,L2,Lawf2,-1,-1,5.0,5,1,in_json,55,14
6037ceadfb3d,L2,Lawf2,0,-1,5.0,5,1,in_json,55,15
6037ceadfb3d,L2,Lawf2,1,0,5.0,5,1,in_json,55,16
6037ceadfb3d,L2,Lawf2,1,-1,5.0,5,1,in_json,55,17
6037ceadfb3d,L2,Lawf2,0,2,5.0,5,1,in_json,55,18
651d6a0459a3,L2,C3,0,0,4.875,4.875,1,in_json,56,0
cc3a32d5b344,L2,Mi1,0,0,1.5714285373687744,1.5714285714285714,1,in_json,57,0
cde00b731b32,L2,Mi4,0,0,4.5714287757873535,4.571428571428571,1,in_json,58,0
2d74ecb57fd9,L2,Mi9,0,0,1.0,1,1,in_json,59,0
76b49fd46942,L2,T1,0,0,139.60000610351562,139.6,1,in_json,60,0
fdf6fad6a712,L2,Tm1,0,0,144.09091186523438,144.0909090909091,1,in_json,61,0
a33ee6c4d9fb,L2,Tm2,0,0,123.16666412353516,123.16666666666667,1,in_json,62,0
4e86cd97cc49,L2,Tm4,-1,0,3.5714285373687744,3.5714285714285716,1,in_json,63,0
4e86cd97cc49,L2,Tm4,0,1,21.5,21.5,1,in_json,63,1
4e86cd97cc49,L2,Tm4,-1,1,24.77777862548828,24.77777777777778,1,in_json,63,2
4e86cd97cc49,L2,Tm4,-1,2,11.333333015441895,11.333333333333334,1,in_json,63,3
4e86cd97cc49,L2,Tm4,1,0,2.6666667461395264,2.6666666666666665,1,in_json,63,4
4e86cd97cc49,L2,Tm4,0,2,1.625,1.625,1,in_json,63,5
4e86cd97cc49,L2,Tm4,0,0,8.44444465637207,8.444444444444445,1,in_json,63,6
5f6db25d06b7,L2,Tm20,0,0,10.0,10,1,in_json,64,0
6cccba15bdff,L2,TmY3,-1,1,3.5999999046325684,3.6,1,in_json,65,0
6cccba15bdff,L2,TmY3,1,0,1.0,1,1,in_json,65,1
6cccba15bdff,L2,TmY3,0,-1,1.5,1.5,1,in_json,65,2
6cccba15bdff,L2,TmY3,0,0,3.3333332538604736,3.3333333333333335,1,in_json,65,3
f2d60e24efa8,L3,Lawf1,1,1,1.0,1,1,in_json,66,0
28618ec2630e,L3,C3,0,0,4.363636493682861,4.363636363636363,1,in_json,67,0
16fb5e431857,L3,Mi1,0,0,14.142857551574707,14.142857142857142,1,in_json,68,0
9ab58b7faead,L3,Mi2,1,0,1.25,1.25,1,in_json,69,0
9ab58b7faead,L3,Mi2,0,-1,2.5999999046325684,2.6,1,in_json,69,1
9ab58b7faead,L3,Mi2,0,0,3.3333332538604736,3.3333333333333335,1,in_json,69,2
4dca5df1d84f,L3,Mi9,0,0,36.71428680419922,36.714285714285715,1,in_json,70,0
48910ae6cc98,L3,Mi13,0,1,1.0,1,1,in_json,71,0
48910ae6cc98,L3,Mi13,0,0,1.1428571939468384,1.1428571428571428,1,in_json,71,1
543da8f277ff,L3,Mi15,0,-1,1.1428571939468384,1.1428571428571428,1,in_json,72,0
543da8f277ff,L3,Mi15,0,0,1.75,1.75,1,in_json,72,1
64d73d7f83b9,L3,Tm3,0,0,1.2666666507720947,1.2666666666666666,1,in_json,73,0
eefad9c5396c,L3,Tm5Y,0,-1,1.2857142686843872,1.2857142857142858,1,in_json,74,0
eefad9c5396c,L3,Tm5Y,0,0,1.125,1.125,1,in_json,74,1
1e5cf347d47f,L3,Tm5a,0,0,1.1666666269302368,1.1666666666666667,1,in_json,75,0
73f65ed9896e,L3,Tm5c,-1,0,2.5,2.5,1,in_json,76,0
73f65ed9896e,L3,Tm5c,0,1,9.0,9,1,in_json,76,1
73f65ed9896e,L3,Tm5c,-1,1,3.0,3,1,in_json,76,2
73f65ed9896e,L3,Tm5c,0,-1,2.6666667461395264,2.6666666666666665,1,in_json,76,3
73f65ed9896e,L3,Tm5c,0,0,21.5,21.5,1,in_json,76,4
1456ab86d536,L3,Tm9,0,0,24.0,24,1,in_json,77,0
108b06d7106d,L3,Tm20,0,0,20.299999237060547,20.3,1,in_json,78,0
2fcb8e229ce9,L3,Tm28,-1,0,1.2000000476837158,1.2,1,in_json,79,0
2fcb8e229ce9,L3,Tm28,1,0,1.399999976158142,1.4,1,in_json,79,1
2fcb8e229ce9,L3,Tm28,0,0,3.0,3,1,in_json,79,2
e38658196a84,L3,TmY9,0,0,1.3333333730697632,1.3333333333333333,1,in_json,80,0
dce025e45a8d,L3,TmY10,0,1,1.75,1.75,1,in_json,81,0
dce025e45a8d,L3,TmY10,-1,1,1.0,1,1,in_json,81,1
dce025e45a8d,L3,TmY10,1,0,1.75,1.75,1,in_json,81,2
dce025e45a8d,L3,TmY10,0,-1,2.75,2.75,1,in_json,81,3
dce025e45a8d,L3,TmY10,1,-1,5.666666507720947,5.666666666666667,1,in_json,81,4
dce025e45a8d,L3,TmY10,0,0,7.25,7.25,1,in_json,81,5
3d3ee06f4f53,L4,R1,1,-1,1.0,1,1,in_json,82,0
3d3ee06f4f53,L4,R1,0,-1,1.0,1,1,in_json,82,1
9404f2195fac,L4,R2,0,-1,1.0,1,1,in_json,83,0
82be9f671527,L4,R3,1,-1,2.0,2,1,in_json,84,0
82be9f671527,L4,R3,0,-1,2.0,2,1,in_json,84,1
72d9bdcec699,L4,R4,1,-1,1.0,1,1,in_json,85,0
72d9bdcec699,L4,R4,0,-1,1.0,1,1,in_json,85,1
50cf1060151d,L4,R5,0,0,1.0,1,1,in_json,86,0
50cf1060151d,L4,R5,0,-1,3.0,3,1,in_json,86,1
d02432531ce9,L4,R6,1,-1,2.0,2,1,in_json,87,0
d02432531ce9,L4,R6,0,-1,2.0,2,1,in_json,87,1
94b486cf7d4e,L4,L2,0,0,4.0,4,1,in_json,88,0
94b486cf7d4e,L4,L2,1,-1,6.0,6,1,in_json,88,1
94b486cf7d4e,L4,L2,0,-1,5.0,5,1,in_json,88,2
c5f88f2e6bec,L4,L3,1,-1,1.0,1,1,in_json,89,0
c5f88f2e6bec,L4,L3,0,-1,1.0,1,1,in_json,89,1
cb15116811d5,L4,L4,1,-1,2.0,2,1,in_json,90,0
