# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json
node_order_index,type_name,birth_id,json_index,pattern_kind,stride_u,stride_v,role,layout,in_input_units,in_output_units,n_out_entries,n_in_entries,n_cells_extent15,n_cells_extent5,central_cells_index_extent15
43,Tm1,6b080cbcddcf,43,stride,1,1,output,output,False,True,28,15,721,91,30167
44,Tm2,1716679973ed,44,stride,1,1,output,output,False,True,22,13,721,91,30888
45,Tm3,1d04dc9e4e44,45,stride,1,1,output,output,False,True,22,12,721,91,31609
46,Tm4,8f9d79739978,46,stride,1,1,output,output,False,True,22,14,721,91,32330
47,Tm5Y,05257d37421c,47,stride,1,1,output,output,False,True,5,9,721,91,33051
48,Tm5a,e2174a9084c8,48,stride,1,1,output,output,False,True,2,7,721,91,33772
49,Tm5b,5bd7d91f26e1,49,stride,1,1,output,output,False,True,5,12,721,91,34493
50,Tm5c,2455576c666d,50,stride,1,1,output,output,False,True,5,8,721,91,35214
51,Tm9,d00cef6913df,51,stride,1,1,output,output,False,True,13,14,721,91,35935
52,Tm16,7a0908bbdc11,52,stride,1,1,output,output,False,True,15,7,721,91,36656
53,Tm20,5202f2beeefe,53,stride,1,1,output,output,False,True,5,12,721,91,37377
54,Tm28,0a8ba80929dc,54,stride,1,1,output,output,False,True,3,7,721,91,38098
55,Tm30,fabbe5261153,55,stride,1,1,output,output,False,True,0,1,721,91,38819
56,TmY3,607b8ed34a33,56,stride,1,1,output,output,False,True,8,15,721,91,39540
57,TmY4,887ba31d1e5d,57,stride,1,1,output,output,False,True,9,18,721,91,40261
58,TmY5a,3ad6ff7262ce,58,stride,1,1,output,output,False,True,10,13,721,91,40982
59,TmY9,7af2610d274e,59,stride,1,1,output,output,False,True,3,11,721,91,41703
