# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json; birth_id=sha256('cs-birth-v1|type|NAME' or 'cs-birth-v1|pair|SRC->TAR')[:12]; next_display_no=671; rule=REGISTRY.md
birth_id,display_no,kind,birth_key,generation_born,parent_ids,src_birth_id,tar_birth_id,expressed_in_compiled_bank,content_sha256
a7a231f0db34,93,pair,pair:C3>L1,0,,6182a4f16e6d,ad5110ebac00,True,0c4cf31781d2a18b83c3620cbb7876ac809e4643c84cdc5ea8ba68009231b8a8
1d57e6485786,94,pair,pair:C3>L2,0,,6182a4f16e6d,36f25ce16c8f,True,d9683f973d3c410223a9f0936c8a175d818305f94cc8ed95432f9b6031125abe
94fe890a6095,95,pair,pair:C3>L3,0,,6182a4f16e6d,fd5e84317740,True,482334e66c999859cd81ba1e1501febc8892a1645314e9980387708dd8e2c5c8
623f4ec0e556,96,pair,pair:C3>L5,0,,6182a4f16e6d,cc98a8db805e,True,601492b1f5eacfe086241ca1ea03dddade2f25c243d409493d7b598805909ed8
0cc1ae204b61,97,pair,pair:C3>Lawf2,0,,6182a4f16e6d,3a1e8d7d01c3,True,0781443e604da4e3455581deebcfd4492d65c6a9ea6e637aec617dd031dc11a1
1d58da322947,98,pair,pair:C3>Mi1,0,,6182a4f16e6d,af1ee12c7a13,True,ada2cbcf93b08e1e0d27ade0a10afff8841d58610f97239266f492cc13f4c049
c3aa1c56264a,99,pair,pair:C3>Mi4,0,,6182a4f16e6d,7c9f2d10b0f7,True,ada73d39f0ad68eabc958b1440b1e081b3560282bd4896857a4f579b389fdd49
6f260f8a7d92,100,pair,pair:C3>Mi9,0,,6182a4f16e6d,760f78ba3287,True,58b2d84ad6abe5734e2bd88124569562e9e7c931f5ca85bc86ea000da01e4d6e
8165d0a06315,101,pair,pair:C3>R3,0,,6182a4f16e6d,a9358d78ca90,True,7623492db13f25766975a1599991c4d73b6f29f84b8c0999b821854780906b88
6d745c8d07ef,102,pair,pair:C3>T1,0,,6182a4f16e6d,7fccce4faa2f,True,e8d2e24ffb1cbf0ce2c2e0d54563a0fcde912d1f77528d375143df67e639dc73
bdb02d6e8839,103,pair,pair:C3>T2,0,,6182a4f16e6d,2c81c87fcf2c,True,4508bdde51426922487ceb258e4a0ec8db1e19cb9cb80c2b432cc539a9d68b9d
2333c3a19c62,104,pair,pair:C3>T4a,0,,6182a4f16e6d,a722a78be07c,True,3b58405823d368b08ca467de5cda285d3b8eb45cd5ee6fc37386f29c1a39ce4a
bd7a2e470931,105,pair,pair:C3>T4b,0,,6182a4f16e6d,8dac2399d9d3,True,03b93f892bce0e85baca7f7305fa55d55796e40f5096ee11790917c5dabf729c
