# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=fb2303d241ed0966033b63a3d9f9b64ec1e47cea5376932360b8cfb96ae93943; see bank.meta.json
json_index,birth_id,src,tar,alpha,alpha_fixed,alpha_references,lambda_mult,edge_type,n_offsets_json,n_synapses_json_total,instantiated,n_offsets_compiled,n_offsets_hull_filled,n_offsets_dropped,n_synapses_compiled_total,note
115,195,L5,TmY14,1,False,,2.1844197651697597,chem,3,6.333333333333333,True,3,0,0,6.333333253860474,
116,196,L5,TmY18,1,False,,2.419057465984466,chem,2,2.738095238095238,True,2,0,0,2.7380951642990112,
117,198,Lawf1,Lawf1,1,False,,1.4349216369352618,chem,1,1.0,False,0,0,1,0.0,"never instantiated: its only offset(s) never land on a cell of the target's stride lattice, and connectome.py:497-498 suppresses the KeyError"
118,199,Lawf1,Tm3,1,False,,0.7741750001002972,chem,2,2.4333333333333336,True,2,0,0,2.433333396911621,
119,201,Lawf2,L3,1,False,,5.859477042231124,chem,25,47.72727272727273,True,25,0,0,47.72727191448212,
120,202,Lawf2,Lawf2,1,False,,5.859477042231124,chem,24,33.599999999999994,True,3,1,22,3.799999952316284,
121,200,Lawf2,Am,1,False,,5.859477042231124,chem,25,81.81818181818183,True,25,0,0,81.81818127632141,
122,72,Am,R1,-1,False,NernPC2018,5.859477042231124,chem,1,1.0,True,1,0,0,1.0,
123,73,Am,R2,-1,False,NernPC2018,5.859477042231124,chem,1,1.0,True,1,0,0,1.0,
124,74,Am,R4,-1,False,NernPC2018,5.859477042231124,chem,1,2.0,True,1,0,0,2.0,
125,75,Am,R5,-1,False,NernPC2018,5.859477042231124,chem,1,2.0,True,1,0,0,2.0,
126,68,Am,L1,1,True,NernPC2018,5.859477042231124,chem,1,1.0,True,1,0,0,1.0,
127,69,Am,L2,-1,False,NernPC2018,5.859477042231124,chem,1,4.0,True,1,0,0,4.0,
128,70,Am,L3,-1,False,NernPC2018,5.859477042231124,chem,1,14.0,True,1,0,0,14.0,
129,71,Am,L4,-1,False,NernPC2018,5.859477042231124,chem,1,5.0,True,1,0,0,5.0,
130,66,Am,C2,-1,False,NernPC2018,5.859477042231124,chem,1,1.0,True,1,0,0,1.0,
131,67,Am,C3,-1,False,NernPC2018,5.859477042231124,chem,1,1.0,True,1,0,0,1.0,
132,76,Am,T1,1,True,NernPC2018,5.859477042231124,chem,1,63.0,True,1,0,0,63.0,
133,78,C2,L1,1,True,NernPC2018,41.150151603473134,chem,1,18.454545454545453,True,1,0,0,18.454545974731445,
134,79,C2,L2,1,True,NernPC2018,35.761726732655106,chem,1,11.5,True,1,0,0,11.5,
135,80,C2,L3,-1,False,NernPC2018,20.696773556367777,chem,1,3.2,True,1,0,0,3.200000047683716,
136,81,C2,L4,-1,True,ReiserPC2017;NernPC2018,4.824131803656733,chem,2,12.11111111111111,True,2,0,0,12.111111164093018,
