bank,seed,kind,existence,offset,counts,sign,existence_fold0,existence_fold1,existence_fold2,existence_fold3,existence_fold4,existence_fold5,existence_fold6,existence_fold7,existence_fold8,existence_fold9
shuffle67,67,shuffle,0.35957557798282147,0.4022471336983717,1.030504981655883,0.5711780952093846,0.32448637749112286,0.3533264739089474,0.3735522602064408,0.32597700004308366,0.3791859456117122,0.3280164102952774,0.37855409033135684,0.42842472166311985,0.34908832130809847,0.3551441789690555
shuffle68,68,shuffle,0.36271662051269177,0.39111268031388624,1.0398587980907723,0.603400505407089,0.356224717431573,0.33188785911849195,0.3501128006483434,0.3837255305249406,0.32204150222955535,0.36530825938386235,0.3230283807091773,0.37136724720826186,0.44544288231452855,0.37802702555818357
shuffle69,69,shuffle,0.3634395629540935,0.4143388345537393,1.0294832220013952,0.6271510417841638,0.354759256957536,0.3555756057913313,0.3509916359583487,0.34734873475652134,0.34228051602539844,0.33234916836957185,0.4249067170173704,0.33698880012968735,0.38865069513295236,0.4005444994022178
shuffle70,70,shuffle,0.36096840241663664,0.39988577514837964,1.0317915714820303,0.5743313394353071,0.35500165176138854,0.37390684150272974,0.3368398658030086,0.3641365350898076,0.3690765532311355,0.3395644656880916,0.3542980877317837,0.3870294279274859,0.40050095306387784,0.3293296423670575
shuffle71,71,shuffle,0.3609966938907721,0.40087098730389403,1.045429645962658,0.6058940257576505,0.30143027050276777,0.3391441007530479,0.35793622445291623,0.41248925657045304,0.36243697565680605,0.3297815720247115,0.4032459286706325,0.3943185870968382,0.3337614919521042,0.3754225312274437
shuffle72,72,shuffle,0.36191800680269104,0.40320998526476337,1.0310781111332012,0.5622465796542041,0.3567014804213962,0.36012751265153037,0.358387431040128,0.33574852663796595,0.3591192545077044,0.3475590971655667,0.38836463840378,0.3738901626313703,0.3586019691009558,0.38067999546651304
shuffle73,73,shuffle,0.36075438534680143,0.41447671212763304,1.0284033142576612,0.5758904767072973,0.3719262676949509,0.33547733882622466,0.3674399668370842,0.3482834918994129,0.3767363641088929,0.3562279351123446,0.35576290848120024,0.3706177618670323,0.3904337822251297,0.33463803641574175
shuffle74,74,shuffle,0.3628620767751052,0.4118696615997225,1.0373362506726111,0.5745632091581242,0.4036752196074505,0.3800598897654093,0.35030142411900334,0.3750105954704504,0.33502873614554185,0.33453392204728016,0.39640719937085567,0.371017053001193,0.36155227487885655,0.321034453345011
shuffle75,75,shuffle,0.361426629983881,0.4009480132762381,1.0386711860544628,0.592601744200422,0.38992737271934624,0.3598600358296892,0.3546140540624452,0.3728211360703797,0.38846242980149387,0.37083997766984916,0.3381717086120379,0.3643164417135428,0.3446381493495642,0.3306149940104617
shuffle76,76,shuffle,0.3642364686098629,0.38957365265361077,1.045726450722261,0.5930095289266274,0.3770135654624364,0.3379501434697379,0.41298213575447135,0.38142712331524353,0.33409486734102056,0.3440229472569657,0.34361383446426536,0.40974411850942966,0.3771470104011504,0.32436894012390804
shuffle77,77,shuffle,0.36223626210123083,0.3973622257149789,1.0443068027821742,0.5876507331139342,0.38443141847150913,0.4341218309229625,0.3271810803713305,0.407203659176423,0.3639391419923245,0.3527634916385795,0.31612775254550624,0.3518101695677927,0.32409125094045244,0.36069282538542774
