bank,seed,kind,existence,offset,counts,sign,existence_fold0,existence_fold1,existence_fold2,existence_fold3,existence_fold4,existence_fold5,existence_fold6,existence_fold7,existence_fold8,existence_fold9
shuffle54,54,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle55,55,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle56,56,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle57,57,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle58,58,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle59,59,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle60,60,shuffle,-0.0016599316965097033,0.0,0.0,0.0,0.0,0.0,-0.005727094195260574,0.0,0.0,0.0,-0.01087222276983646,0.0,0.0,0.0
shuffle61,61,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle62,62,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle63,63,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle64,64,shuffle,-0.0010420591858683824,0.0,0.0,0.0,-0.005312686539577505,0.0,0.0,0.0,0.0,-0.005107905319106321,0.0,0.0,0.0,0.0
shuffle65,65,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle66,66,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle67,67,shuffle,-0.0003107979003185046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031079790031850463,0.0,0.0,0.0,0.0,0.0
shuffle68,68,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle69,69,shuffle,-0.0004223374498872612,0.0,0.0,0.0,0.0,0.0,-0.004223374498872612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle70,70,shuffle,-0.0006230396417166439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0062303964171664394
shuffle71,71,shuffle,-0.0013906991750404496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013906991750404496,0.0,0.0,0.0
shuffle72,72,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle73,73,shuffle,-0.0010916197779130333,0.0,0.0,0.0,-0.0003368500421596088,0.0,0.0,0.0,0.0,0.0,-0.008373485333984798,-0.0022058624029859253,0.0,0.0
shuffle74,74,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle75,75,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle76,76,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
