path,run_a,run_b,variant,alpha,aggregate_hook,aggregate_per_item_mean,hook_minus_per_item_mean,bn_batches,wall_s,item_sequence_02_ambush_2_split_00,item_sequence_02_ambush_2_split_01,item_sequence_02_ambush_2_split_02,item_sequence_07_bamboo_1_split_00,item_sequence_07_bamboo_1_split_01,item_sequence_07_bamboo_1_split_02,item_sequence_09_bandage_1_split_00,item_sequence_09_bandage_1_split_01,item_sequence_09_bandage_1_split_02,item_sequence_12_cave_4_split_00,item_sequence_13_market_2_split_00,item_sequence_13_market_2_split_01,item_sequence_13_market_2_split_02,item_sequence_16_mountain_1_split_00,item_sequence_16_mountain_1_split_01,item_sequence_16_mountain_1_split_02
control_0_to_1,000,001,2,0.5,1233.600329399109,1233.60036277771,-3.337860107421875e-05,13,0.559,4219.748046875,4528.91259765625,4929.97998046875,181.16812133789062,156.5482635498047,160.90988159179688,795.7764282226562,801.7736206054688,667.314208984375,1205.86474609375,768.6922607421875,489.7138366699219,243.6768798828125,205.03231811523438,141.184814453125,241.30979919433594
control_0_to_1,000,001,2,0.525,1237.8656482696533,1237.8656482696533,0.0,13,0.654,4219.62109375,4529.24072265625,4929.9365234375,190.22149658203125,165.160888671875,167.4594268798828,800.5836791992188,806.6633911132812,673.5250854492188,1207.1485595703125,768.4666748046875,490.4405517578125,248.4093475341797,209.8404541015625,150.89544677734375,248.23703002929688
control_0_to_1,000,001,2,0.55,1242.4680452346802,1242.4680452346802,0.0,13,0.691,4219.26416015625,4529.375,4929.68701171875,199.72076416015625,174.36395263671875,174.77566528320312,805.5772705078125,811.7191162109375,679.9609985351562,1208.6959228515625,768.45166015625,491.3881530761719,253.67530822753906,215.5578155517578,161.37060546875,255.9053192138672
control_0_to_1,000,001,2,0.6,1249.526071548462,1249.5260725021362,-9.5367431640625e-07,13,0.561,4215.51904296875,4526.77099609375,4926.3359375,213.86903381347656,188.11106872558594,185.6885223388672,815.0059204101562,821.662841796875,692.1358032226562,1212.2518310546875,767.275146484375,491.4684753417969,261.7301940917969,224.71804809570312,179.21966552734375,270.6546325683594
control_0_to_1,000,001,2,0.65,1252.0563335418701,1252.0563354492188,-1.9073486328125e-06,13,0.552,4206.3125,4519.05859375,4917.8544921875,218.93304443359375,192.90338134765625,188.61630249023438,823.213623046875,831.1399536132812,702.7874145507812,1216.2156982421875,763.4523315429688,487.1325378417969,263.9316711425781,227.74777221679688,190.572265625,283.02978515625
control_0_to_1,000,001,2,0.7,1250.6842069625854,1250.684181213379,2.574920654296875e-05,13,0.667,4191.58984375,4506.37548828125,4904.39794921875,217.14752197265625,191.1172637939453,185.58470153808594,829.8670654296875,839.9317016601562,711.8357543945312,1220.8040771484375,757.2540893554688,478.34051513671875,261.3408508300781,225.3048095703125,196.85702514648438,293.1982421875
control_0_to_1,000,001,2,0.75,1245.9430446624756,1245.943042755127,1.9073486328125e-06,13,0.554,4171.94140625,4489.71484375,4887.0634765625,210.08071899414062,184.7457275390625,178.9204864501953,833.6729736328125,846.8045043945312,718.2025146484375,1226.460205078125,749.3775634765625,465.386962890625,255.1728973388672,218.38385009765625,198.81802368164062,300.342529296875
control_0_to_1,000,001,2,0.8,1230.6535844802856,1230.6535844802856,0.0,13,0.563,4160.5673828125,4480.669921875,4879.30615234375,185.13075256347656,160.80792236328125,159.37838745117188,819.1234741210938,833.6115112304688,701.6026611328125,1227.634033203125,745.0775146484375,455.79620361328125,239.70791625976562,194.41622924804688,169.01443481445312,278.61285400390625
control_0_to_1,000,001,2,0.85,1227.1487264633179,1227.148717880249,8.58306884765625e-06,13,0.557,4174.97265625,4492.994140625,4887.3271484375,181.54164123535156,162.5359649658203,168.12911987304688,791.0936889648438,805.2044067382812,675.5999755859375,1223.95654296875,757.4282836914062,465.9593811035156,242.49317932128906,198.2914276123047,152.5300750732422,254.3218536376953
control_0_to_1,000,001,2,0.9,1247.9244842529297,1247.9244031906128,8.106231689453125e-05,13,0.58,4155.689453125,4482.29541015625,4872.4697265625,239.6270751953125,223.76852416992188,226.8916015625,781.3217163085938,797.420166015625,679.8423461914062,1240.3779296875,773.498779296875,481.0290222167969,283.87823486328125,246.1186981201172,201.21792602539062,281.3438415527344
control_0_to_1,000,001,2,0.95,1220.568881034851,1220.5689249038696,-4.38690185546875e-05,13,0.745,4083.16796875,4429.81884765625,4825.4814453125,214.74734497070312,197.77090454101562,200.54391479492188,751.3310546875,776.430908203125,649.0742797851562,1228.13818359375,761.464111328125,486.8307189941406,298.7916564941406,209.41128540039062,155.9647979736328,260.1353759765625
control_0_to_1,000,001,2,1.0,1143.9770812988281,1143.9769835472107,9.775161743164062e-05,13,0.553,3944.190185546875,4325.85546875,4725.1455078125,103.7530288696289,99.13786315917969,120.11683654785156,686.3890991210938,700.76513671875,555.7072143554688,1186.863037109375,677.2040405273438,448.38153076171875,231.83065795898438,186.2564697265625,114.47988891601562,197.55577087402344
extra_0prime_to_1,900,001,1,0.0,1160.9823546409607,1160.982343196869,1.1444091796875e-05,,0.413,4068.65869140625,4381.736328125,4782.38427734375,92.47386169433594,82.71761322021484,111.84891510009766,708.2150268554688,721.499755859375,586.8901977539062,1184.1031494140625,669.8834838867188,450.3482971191406,219.4831085205078,184.9997100830078,115.18924713134766,215.28582763671875
extra_0prime_to_1,900,001,1,0.05,1218.9420852661133,1218.942087650299,-2.384185791015625e-06,,0.408,4154.5244140625,4467.28857421875,4874.58251953125,92.55500030517578,83.56546783447266,117.99723052978516,784.095947265625,801.3074340820312,645.6633911132812,1204.9808349609375,753.8057861328125,487.0067138671875,227.65150451660156,302.9783935546875,228.87945556640625,276.19073486328125
extra_0prime_to_1,900,001,1,0.1,1208.7272510528564,1208.727282524109,-3.147125244140625e-05,,0.401,4173.54443359375,4481.29638671875,4888.75341796875,95.88764190673828,87.93668365478516,122.09660339355469,780.9302978515625,797.5689086914062,645.3225708007812,1204.7388916015625,756.970458984375,488.9642333984375,228.5791015625,192.1256866455078,142.5406494140625,252.38055419921875
